"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2224","checkout with product: Samsung galaxy s6","ui-regression","2026-02-06","passed","2026-02-06","Data-driven checkout","tests/ui/ddtCheckout.spec.ts","",""
"","1731","login flow @login","ui-regression","2026-02-06","passed","2026-02-06","","tests/ui/xallureTestLogin.spec.ts","",""
"","2899","sign up with random user","ui-regression","2026-02-06","passed","2026-02-06","","tests/ui/signupRandom.spec.ts","",""
"","2482","verify cart total equals product price for: Samsung galaxy s6","ui-regression","2026-02-06","passed","2026-02-06","Cart flow","tests/ui/hooksExample.spec.ts","",""
"","2052","user can add a laptop to the cart","ui-regression","2026-02-06","passed","2026-02-06","","tests/ui/addToCart.spec.ts","",""
"","2318","checkout with product: Nokia lumia 1520","ui-regression","2026-02-06","passed","2026-02-06","Data-driven checkout","tests/ui/ddtCheckout.spec.ts","",""
"","2362","checkout with product: Sony vaio i5","ui-regression","2026-02-06","passed","2026-02-06","Data-driven checkout","tests/ui/ddtCheckout.spec.ts","",""
"","3096","can complete checkout for Nokia Lumia 1520 using flow","ui-regression","2026-02-06","passed","2026-02-06","","tests/ui/checkout.spec.ts","",""
"","1786","login test for test","ui-regression","2026-02-06","passed","2026-02-06","Data-driven login tests","tests/ui/ddtLogin.spec.ts","",""
"","2681","remove a product from cart","ui-regression","2026-02-06","passed","2026-02-06","","tests/ui/removeFromCart.spec.ts","",""
"","2615","verify cart total equals product price for: Nokia lumia 1520","ui-regression","2026-02-06","passed","2026-02-06","Cart flow","tests/ui/hooksExample.spec.ts","",""
"","1972","login test for test1","ui-regression","2026-02-06","passed","2026-02-06","Data-driven login tests","tests/ui/ddtLogin.spec.ts","",""
"","1722","user can log in successfully","ui-regression","2026-02-06","passed","2026-02-06","","tests/ui/login.spec.ts","",""
